No.,trickiness,graph,time,RL,algo_T,algo_F,algo_L,algo_tdL,algo_tdS,algo_pw,LB,UB
192,extremely tricky,CH,peak at the bottom,14,14,14,14,14,14,14,13,13
193,tricky,CH,peak at the bottom,16,15,15,15,15,15,15,15,15
194,tricky,CH,peak at the bottom,15,15,15,16,15,15,16,15,15
195,less tricky,CH,peak at the bottom,15,15,15,15,15,15,15,15,15
196,less tricky,CH,peak at the bottom,15,15,15,16,15,15,15,15,15
197,less tricky,CH,peak at the bottom,15,15,15,15,15,15,15,15,15
198,extremely tricky,CH,peak at the bottom,14,14,14,14,14,14,14,13,13
199,tricky,CH,peak at the bottom,14,14,14,14,14,14,14,14,14
200,tricky,CH,peak at the bottom,15,15,16,16,15,15,16,15,15
201,extremely tricky,CH,peak in the middle,58,55,58,58,54,54,57,52,54
202,extremely tricky,CH,peak in the middle,64,63,67,66,62,61,67,61,62
203,extremely tricky,CH,peak in the middle,56,53,56,57,54,53,55,52,53
204,extremely tricky,CH,peak in the middle,54,52,54,53,52,52,54,49,51
205,extremely tricky,CH,peak in the middle,63,59,63,60,58,58,60,56,58
206,extremely tricky,CH,peak in the middle,56,53,56,55,52,53,56,50,54
207,extremely tricky,CH,peak in the middle,56,53,55,56,52,52,54,50,52
208,open (not known yet),CH,peak in the middle,64,60,60,61,60,60,60,56,60
209,extremely tricky,CH,peak in the middle,58,58,62,62,57,57,59,54,56
210,extremely tricky,CH,peak in the middle,57,55,57,58,53,53,56,51,53
211,extremely tricky,CH,peak in the middle,56,55,56,55,53,54,53,51,53
212,extremely tricky,CH,peak in the middle,59,55,57,58,54,54,57,51,53
213,extremely tricky,CH,peak in the middle,60,56,58,58,54,54,57,51,54
214,open (not known yet),CH,peak in the middle,59,56,58,57,55,56,57,53,56
215,extremely tricky,CH,peak in the middle,51,51,54,53,50,50,53,47,49
216,extremely tricky,CH,peak in the middle,54,54,57,57,55,54,57,51,53
217,extremely tricky,CH,peak in the middle,57,55,57,59,54,54,55,51,53
218,open (not known yet),CH,peak in the middle,58,57,59,60,55,56,60,52,56
219,extremely tricky,CH,peak in the middle,55,54,56,56,54,54,55,51,53
220,extremely tricky,CH,peak in the middle,60,55,60,59,54,55,60,52,54
221,extremely tricky,CH,peak in the middle,62,58,63,62,57,57,62,56,57
222,extremely tricky,CH,peak in the middle,61,57,59,59,56,55,58,51,55
223,extremely tricky,CH,peak in the middle,57,54,56,55,53,53,55,50,53
224,extremely tricky,CH,peak in the middle,61,57,62,62,57,57,62,55,56
225,extremely tricky,CH,peak in the middle,59,58,56,57,57,57,56,51,55
226,extremely tricky,CH,bimodal,25,25,26,25,25,26,25,24,24
227,open (not known yet),CH,bimodal,28,27,28,28,27,27,28,26,27
228,extremely tricky,CH,bimodal,23,23,23,23,23,23,23,22,22
229,extremely tricky,CH,bimodal,25,25,25,25,25,25,25,24,24
230,extremely tricky,CH,bimodal,25,25,24,24,24,24,24,23,23
231,extremely tricky,CH,bimodal,23,23,23,23,23,23,23,22,22
232,very tricky,CH,bimodal,23,22,23,23,22,22,23,22,22
233,extremely tricky,CH,bimodal,23,23,24,24,23,23,23,22,22
234,extremely tricky,CH,bimodal,24,23,23,23,23,24,23,23,23
235,extremely tricky,CH,bimodal,27,27,28,27,27,27,28,26,26
236,extremely tricky,CH,bimodal,24,23,24,24,23,23,24,22,22
237,extremely tricky,CH,bimodal,24,24,24,24,23,23,24,23,23
238,extremely tricky,CH,bimodal,24,24,24,24,24,24,24,23,23
239,tricky,CH,bimodal,21,21,22,22,21,21,21,21,21
240,extremely tricky,CH,bimodal,23,23,23,23,23,23,23,22,22
241,extremely tricky,CH,bimodal,23,23,23,23,23,23,23,22,22
242,extremely tricky,CH,bimodal,24,24,24,24,24,24,24,23,23
243,extremely tricky,CH,bimodal,24,24,24,24,24,24,24,23,23
244,extremely tricky,CH,bimodal,22,22,22,22,22,22,22,21,21
245,open (not known yet),CH,bimodal,25,24,25,25,24,24,25,23,24
246,extremely tricky,CH,bimodal,27,27,27,27,27,27,27,26,26
247,extremely tricky,CH,bimodal,23,23,23,23,23,23,23,22,22
248,extremely tricky,CH,bimodal,20,20,21,20,20,20,20,19,19
249,extremely tricky,CH,bimodal,22,22,22,22,22,22,22,21,21
250,extremely tricky,CH,bimodal,25,25,25,24,25,25,25,24,24
251,less tricky,CH,peak at the bottom,15,15,15,15,15,15,15,15,15
252,very tricky,CH,peak at the bottom,14,15,15,15,15,14,15,14,14
253,tricky,CH,peak at the bottom,15,14,15,15,14,14,15,14,14
254,tricky,CH,peak at the bottom,14,14,14,14,14,14,14,14,14
255,less tricky,CH,peak at the bottom,14,14,14,14,14,14,14,14,14
256,less tricky,CH,peak at the bottom,15,15,15,15,15,15,15,15,15
257,extremely tricky,CH,peak at the bottom,13,13,13,13,13,13,13,12,12
258,extremely tricky,CH,peak at the bottom,15,15,15,15,15,15,15,14,14
259,extremely tricky,CH,peak at the bottom,16,15,16,16,16,16,16,15,15
260,less tricky,CH,peak at the bottom,15,15,15,15,15,15,15,15,15
261,less tricky,CH,peak at the bottom,14,14,14,14,14,14,14,14,14
262,less tricky,CH,peak at the bottom,14,14,14,14,14,14,14,14,14
263,less tricky,CH,peak at the bottom,14,14,14,14,14,14,14,14,14
264,less tricky,CH,peak at the bottom,16,15,15,15,15,15,15,15,15
